GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent as a percentage of household income,Margin of Error; Median gross rent as a percentage of household income
8600000US10020,10020,ZCTA5 10020,$-,$**
8600000US10103,10103,ZCTA5 10103,$-,$**
8600000US10110,10110,ZCTA5 10110,$-,$**
8600000US10111,10111,ZCTA5 10111,$-,$**
8600000US10112,10112,ZCTA5 10112,$-,$**
8600000US10115,10115,ZCTA5 10115,$-,$**
8600000US10119,10119,ZCTA5 10119,$-,$**
8600000US10152,10152,ZCTA5 10152,$-,$**
8600000US10153,10153,ZCTA5 10153,$-,$**
8600000US10154,10154,ZCTA5 10154,$-,$**
8600000US10165,10165,ZCTA5 10165,$-,$**
8600000US10167,10167,ZCTA5 10167,$-,$**
8600000US10168,10168,ZCTA5 10168,$-,$**
8600000US10169,10169,ZCTA5 10169,$-,$**
8600000US10170,10170,ZCTA5 10170,$-,$**
8600000US10171,10171,ZCTA5 10171,$-,$**
8600000US10172,10172,ZCTA5 10172,$-,$**
8600000US10173,10173,ZCTA5 10173,$-,$**
8600000US10174,10174,ZCTA5 10174,$-,$**
8600000US10177,10177,ZCTA5 10177,$-,$**
8600000US10199,10199,ZCTA5 10199,$-,$**
8600000US10271,10271,ZCTA5 10271,$-,$**
8600000US10278,10278,ZCTA5 10278,$-,$**
8600000US10279,10279,ZCTA5 10279,$-,$**
8600000US10311,10311,ZCTA5 10311,$-,$**
8600000US10501,10501,ZCTA5 10501,$50.0+,$***
8600000US10502,10502,ZCTA5 10502,$50.0+,$***
8600000US10503,10503,ZCTA5 10503,$10.0-,$***
8600000US10505,10505,ZCTA5 10505,$-,$**
8600000US10518,10518,ZCTA5 10518,$10.0-,$***
8600000US10519,10519,ZCTA5 10519,$-,$**
8600000US10526,10526,ZCTA5 10526,$-,$**
8600000US10527,10527,ZCTA5 10527,$-,$**
8600000US10545,10545,ZCTA5 10545,$-,$**
8600000US10577,10577,ZCTA5 10577,$-,$**
8600000US10578,10578,ZCTA5 10578,$-,$**
8600000US10597,10597,ZCTA5 10597,$-,$**
8600000US10910,10910,ZCTA5 10910,$-,$**
8600000US10911,10911,ZCTA5 10911,$-,$**
8600000US10914,10914,ZCTA5 10914,$-,$**
8600000US10915,10915,ZCTA5 10915,$-,$**
8600000US10932,10932,ZCTA5 10932,$-,$**
8600000US10933,10933,ZCTA5 10933,$-,$**
8600000US10950,10950,ZCTA5 10950,$50.0+,$***
8600000US10953,10953,ZCTA5 10953,$-,$**
8600000US10962,10962,ZCTA5 10962,$50.0+,$***
8600000US10964,10964,ZCTA5 10964,$50.0+,$***
8600000US10979,10979,ZCTA5 10979,$50.0+,$***
8600000US10983,10983,ZCTA5 10983,$50.0+,$***
8600000US10984,10984,ZCTA5 10984,$-,$**
8600000US10985,10985,ZCTA5 10985,$-,$**
8600000US10986,10986,ZCTA5 10986,$50.0+,$***
8600000US11042,11042,ZCTA5 11042,$-,$**
8600000US11351,11351,ZCTA5 11351,$-,$**
8600000US11359,11359,ZCTA5 11359,$-,$**
8600000US11371,11371,ZCTA5 11371,$-,$**
8600000US11424,11424,ZCTA5 11424,$-,$**
8600000US11425,11425,ZCTA5 11425,$-,$**
8600000US11430,11430,ZCTA5 11430,$-,$**
8600000US11451,11451,ZCTA5 11451,$-,$**
8600000US11507,11507,ZCTA5 11507,$50.0+,$***
8600000US11516,11516,ZCTA5 11516,$50.0+,$***
8600000US11549,11549,ZCTA5 11549,$-,$**
8600000US11556,11556,ZCTA5 11556,$-,$**
8600000US11576,11576,ZCTA5 11576,$50.0+,$***
8600000US11724,11724,ZCTA5 11724,$10.0-,$***
8600000US11739,11739,ZCTA5 11739,$-,$**
8600000US11765,11765,ZCTA5 11765,$50.0+,$***
8600000US11770,11770,ZCTA5 11770,$10.0-,$***
8600000US11794,11794,ZCTA5 11794,$-,$**
8600000US11931,11931,ZCTA5 11931,$-,$**
8600000US11947,11947,ZCTA5 11947,$-,$**
8600000US11948,11948,ZCTA5 11948,$-,$**
8600000US11951,11951,ZCTA5 11951,$50.0+,$***
8600000US11958,11958,ZCTA5 11958,$-,$**
8600000US11962,11962,ZCTA5 11962,$-,$**
8600000US11965,11965,ZCTA5 11965,$50.0+,$***
8600000US11973,11973,ZCTA5 11973,$-,$**
8600000US11975,11975,ZCTA5 11975,$-,$**
8600000US12007,12007,ZCTA5 12007,$-,$**
8600000US12008,12008,ZCTA5 12008,$-,$**
8600000US12024,12024,ZCTA5 12024,$-,$**
8600000US12035,12035,ZCTA5 12035,$50.0+,$***
8600000US12036,12036,ZCTA5 12036,$-,$**
8600000US12040,12040,ZCTA5 12040,$-,$**
8600000US12041,12041,ZCTA5 12041,$50.0+,$***
8600000US12042,12042,ZCTA5 12042,$-,$**
8600000US12045,12045,ZCTA5 12045,$50.0+,$***
8600000US12046,12046,ZCTA5 12046,$-,$**
8600000US12056,12056,ZCTA5 12056,$50.0+,$***
8600000US12057,12057,ZCTA5 12057,$50.0+,$***
8600000US12069,12069,ZCTA5 12069,$10.0-,$***
8600000US12089,12089,ZCTA5 12089,$-,$**
8600000US12094,12094,ZCTA5 12094,$50.0+,$***
8600000US12115,12115,ZCTA5 12115,$-,$**
8600000US12120,12120,ZCTA5 12120,$50.0+,$***
8600000US12121,12121,ZCTA5 12121,$-,$**
